Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Additional assignments (in order) and notes,Image links
D-249,1953,FWD,1000 / 0,Engine Co. 45 (12/15/1953 - 11/22/1969),,Engine Co. 50 (10/7/1973 - 11/17/1973),Engine Co. 43 (6/16/1974 - 8/17/1974),,,,,
D-250,1953,FWD,1000 / 0,Engine Co. 52 (12/18/1953 - 9/16/1965),Engine Co. 5 (9/22/1965 - 11/30/1966),Engine Co. 61 (9/30/1968 - 8/21/1969),Engine Co. 15 (10/29/1970 - 12/5/1974),,,,Last rig for Engine 52 before company placed OOS,Engine 52 (chicagofd.org)
D-251,1953,FWD F-1000T,1000 / 0 ,Engine Co. 49 (12/28/1953 - 2/20/1970),,Chemical 3 (6 - 3 - 3) (9/10/1975 - ?),,,,,"Conversion to Chemical 3 done by shops; Chemical 3 was at Meigs Field in later days, started out at E104’s house (9/10/1975 - 11/23/1978), in service at least until November 1983, possibly until 1989; kept DX-40 roof light",6-3-3 (Bill Friedrich) 6-3-3 (mbernero)
D-252,1953,FWD,1000 / 0 ,Engine Co. 120 (12/26/1953 - 1/23/1970),,,,,,,,Engine 120 (R. Robertson) Engine 120 (R. Robertson)
D-253,1953,FWD,1000 / 0,Engine Co. 82 (1/6/1954 - 10/1/1969),,Engine Co. 99 (1/17/1972 - 9/17/1972),,,,,,
D-254,1953,FWD,1000 / 0,Engine Co. 93 (1/19/1954 - 6/7/1968),Engine Co. 83 (12/31/1968 - 2/11/1970),Engine Co. 95 (3/16/1970 - 7/15/1970),,,,,,
D-255,1953,FWD,1000 / 0,Engine Co. 72 (1/12/1954 - 2/2/1970),Engine Co. 70 (8/3/1970 - 7/14/1972),Engine Co. 56 (10/11/1973 - 4/15/1974),,,,,,Engine 72 (Steve Redick)
D-256,1953,FWD,1000 / 0,Engine Co. 61 (1/11/1954 - 4/16/1968),,,,,,,,
D-257,1953,FWD,1000 / 0,Engine Co. 124 (1/22/1954 - 4/7/1960),,,,,,,Wrecked in accident with semi-truck 4/7/1960 at Montrose & Cicero,
D-258,1953,FWD,1000 / 0,Engine Co. 118 (1/20/1954 - 6/8/1959),Engine Co. 129 (6/8/1959 - 8/3/1967),,Engine Co. 109 (2/18/1970 - 3/11/1971),Engine Co. 109 (9/21/1971 - 6/24/1972),,,Engine 129 & Engine 118 swapped rigs so Engine 118 (Midway Airport) could put on protective gear in sedan cab (D-186),
D-259,1953,FWD,1000 / 0,Engine Co. 75 (2/2/1954 - 10/30/1957),Engine Co. 66 (10/30/1957 - 5/16/1965),Engine Co. 5 (11/30/1966 - 8/15/1967),Engine Co. 84 (9/24/1968 - 5/21/1969),Engine Co. 109 (7/10/1969 - 12/3/1969),Engine Co. 109 (12/9/1969 - 2/18/1970),Engine Co. 50 (5/20/1973 - 10/7/1973),,
D-260,1953,FWD,1000 / 0,Engine Co. 8 (1/25/1954 - 7/1960?),Engine Co. 60 (7/1960? - 7/9/1961),Engine Co. 8 (7/9/1961 - 4/16/1965),Engine Co. 8 (2/22/1966 - 7/17/1969),Engine Co. 43 (8/29/1969 - 12/8/1969),,,Engine 8 & Engine 60 swapped rigs so E8 could have booster rig during McCormick Place construction,Engine 8 (Steve Redick)
D-261,1953,FWD,1000 / 0,Engine Co. 2 (1/27/1954 - 11/16/1963),Engine Co. 24 (2/25/1969 - 8/15/1975),,,,,,Engine 2 OOS 11/16/1963,Engine 2 (Bill Friedrich) Engine 24 (firemann57) Engine 24 (firemann57)
D-262,1953,FWD,1000 / 0,Engine Co. 89 (1/29/1954 - 10/19/1967),Engine Co. 4 (1/6/1968 - 4/8/1968),,,,,,,Engine 89 (Steve Redick) Engine 89 (Steve Redick)
D-263,1953,FWD,1000 / 0,Engine Co. 73 (2/6/1954 - 12/17/1970),,Engine Co. 112 (1/17/1972 - 1/10/1974),,,,,,Engine 73 (Steve Redick)
D-264,1953,FWD,1000 / 0,Engine Co. 57 (2/5/1954 - 7/12/1973),,,,,,,,
D-265,1953,FWD,1000 / 0,Engine Co. 23 (2/9/1954 - 6/27/1973),Engine Co. 43 (8/23/1973 - 1/30/1974),Engine Co. 56 (4/15/1974 - 5/22/1975),,,,,,Engine 23 (Steve Redick) Engine 23 (Bill Friedrich)
D-266,1953,FWD,1000 / 0,Engine Co. 107 (2/25/1954 - 7/2/1970),,,,,,,,
D-267,1953,FWD,1000 / 0,Engine Co. 6 (2/23/1954 - 6/16/1963),Engine Co. 50 (1/3/1966 - 7/31/1966),Engine Co. 84 (11/7/1967 - 6/7/1968),Engine Co. 109 (12/3/1969 - 12/9/1969),Engine Co. 100 (12/11/1969 - 3/19/1970),Engine Co. 109 (5/13/1974 - 10/29/1974),Engine Co. 50 (11/17/1973 - 4/25/1974),Engine 6 OOS 6/16/1963,Engine 6 (Steve Redick)
D-268,1953,FWD,1000 / 0,Engine Co. 13 (2/23/1954 - 6/14/1956),Engine Co. 32 (12/18/1959 - 6/17/1970),,,,,,,Engine 13 (Bill Friedrich)
D-269,1954,Mack L,1000 / 0,Engine Co. 76 (6/30/1954 - 12/31/1973),,,,,,,,
D-270,1954,Mack L,1000 / 0,Engine Co. 116 (6/21/1954 - 11/27/1973),,,,,,,,
D-271,1954,Mack L,1000 / 0,Engine Co. 119 (7/6/1954 - 10/17/1967),Engine Co. 5 (12/18/1967 - 1/13/1970),Engine Co. 68 (1/30/1970 - 9/13/1970),Engine Co. 69 (9/15/1970 - 9/20/1971),Engine Co. 30 (11/4/1974 - 11/21/1974),Engine Co. 56 (5/22/1975 - 1/26/1976),Engine Co. 94 (3/3/1976 - 6/23/1976),,Engine 5 (J. McCullough) Engine 30 (firemann57)
D-272,1954,Mack L,1000 / 0,Engine Co. 96 (7/7/1954 - 2/1/1968),Engine Co. 67 (2/2/1968 - 8/31/1973),,Engine Co. 70 (4/12/1975 - 8/27/1975),,,,,
D-273,1954,Mack L,1000 / 0,Engine Co. 39 (7/9/1954 - 2/3/1976),,,,,,,,Engine 39 (Steve Redick)
D-274,1954,Mack L,1000 / 0,Engine Co. 99 (7/13/1954 - 1/27/1965),Engine Co. 124 (5/6/1965 - 3/27/1970),Engine Co. 100 (5/19/1970 - 7/15/1970),Engine Co. 112 (1/2/1971 - 1/17/1972),Engine Co. 75 (3/22/1974 - 10/2/1974),Engine Co. 43 (1/8/1976 - 7/22/1976),,,
D-275,1954,Mack L,1000 / 0,Engine Co. 123 (7/27/1954 - 1/16/1974),Engine Co. 112 (1/18/1974 - 11/21/1975),,,,,,,Engine 112 (Midwest Fire Depts) Former Engine 112 (firemann57) Former Engine 112 (firemann57)
D-276,1954,Mack L,1000 / 0,Engine Co. 70 (7/23/1954 - 8/3/1970),,Engine Co. 70 (9/14/1973 - 10/29/1974),,Engine Co. 70 (8/27/1975 - 4/13/1976),,,,
D-277,1954,Mack L,1000 / 0,Engine Co. 110 (7/27/1954 - 1/22/1976),,,,,,,,Engine 110 (Steve Redick)
D-278,1954,Mack L,1000 / 0,Engine Co. 53 (7/27/1954 - ?),Engine Co. 35 (10/8/1968 - 9/9/1970),,Engine Co. 129 (7/2/1974 - 2/3/1975),,Engine Co. 85 (10/16/1975 - 1/12/1977),,,Engine 53 (Steve Redick)
D-279,1954,Mack L,1000 / 0,Engine Co. 80 (7/27/1954 - 11/14/1967),,,,,,,,
D-280,1954,Mack L,1000 / 0,Engine Co. 101 (7/28/1954 - 6/14/1972),,,,,,,,Engine 101 (chicagofd.org)
D-281,1954,Mack L,1000 / 0,Engine Co. 14 (8/20/1954 - 1/4/1955),,,,,,,,
D-282,1954,Mack L,1000 / 0,Engine Co. 128 (8/5/1954 - 9/16/1969),Engine Co. 112 (9/16/1969 - 1/2/1971),,,,,,Engine 128 OOS 9/16/1969 & manpower used to organize FMS-6,
D-283,1954,Mack L,1000 / 0,Engine Co. 46 (8/16/1954 - 12/24/1969),Engine Co. 84 (3/13/1970 - 10/27/1972),Engine Co. 50 (3/18/1973 - 5/20/1973),,,,,,
D-284,1954,Mack L,1000 / 0,Engine Co. 98 (8/6/1954 - 11/16/1968),Engine Co. 19 (11/16/1968 - 7/12/1970),Engine Co. 99 (12/8/1970 - 1/17/1972),Salvage Squad 2 (as a spare),Engine Co. 99 (2/26/1974 - 9/11/1974),,,,
D-285,1954,Mack L,1000 / 0,Engine Co. 47 (7/29/1954 - 5/29/1970),Engine Co. 20 (6/26/1970 - 10/7/1971),,,,,,,
D-286,1954,Mack L,1000 / 0 ,Engine Co. 103 (8/9/1954 - ?),Engine Co. 102 (7/24/1970 - 2/23/1973),Engine Co. 103 (? - 3/9/1973),,,,,*Conflict,
D-287,1954,Mack L,1000 / 0,Engine Co. 9 (8/13/1954 - ?),Engine Co. 30 (10/28/1969 - 6/9/1972),Engine Co. 75 (6/21/1972 - 3/22/1974),,,,,,
D-288,1954,Mack L,1000 / 0,Engine Co. 11 (8/10/1954 - 1/8/1968),Engine Co. 4 (4/8/1968 - 12/4/1968),Engine Co. 63 (2/2/1969 - 9/2/1969),Engine Co. 109 (2/17/1974 - 5/13/1974),Engine Co. 50 (1/28/1975 - 8/13/1975),Engine Co. 43 (10/4/1976 - 1/27/1977),,,Engine 11 (Steve Redick)
D-289,1954,Mack L,1000 / 0,Engine Co. 22 (8/11/1954 - 6/9/1971),,Engine Co. 70 (7/14/1972 - 6/9/1973),,,,,,
D-290,1954,Mack L,1000 / 0,Engine Co. 127 (7/30/1954 - 1/19/1968),Engine Co. 129 (1/19/1968 - 4/29/1974),,,,,,,Engine 129 (Bill Friedrich)
D-291,1954,Mack L,1000 / 0,Engine Co. 115 (8/3/1954 - 2/23/1976),,,,,,,Retained DX-40 light,Engine 115 (firemann57) Engine 115 (firemann57)
D-292,1954,Mack L,1000 / 0,Engine Co. 66 (8/3/1954 - 8/23/1956),Engine Co. 7 (11/12/1956 - 2/13/1976),,,,,,Retained DX-40 light until at least 1974,Engine 7 (firemann57) Engine 7 (firemann57)
D-293,1954,Mack L,1000 / 0,Engine Co. 105 (8/12/1954 - 9/1/1967),Engine Co. 28 (5/10/1968 - 3/19/1970),Engine Co. 91 (4/11/1970 - 11/3/1972),Engine Co. 121 (9/4/1973 - 1/21/1976),,,,Last rig for Engine 105 before OOS on 9/1/1967,
D-294,1954,Mack L,1000 / 0,Engine Co. 88 (8/4/1954 - 8/6/1964),Engine Co. 34 (8/12/1964 - 10/17/1967),Engine Co. 16 (1/11/1968 - 2/25/1970),Engine Co. 75 (3/14/1970 - 6/21/1972),,,,,
D-295,1954,Mack L,1000 / 0,Engine Co. 40 (8/20/1954 - 8/1/1963),Engine Co. 42 (8/1/1963 - 7/28/1967),Engine Co. 50 (7/14/1967 - 3/18/1973),Engine Co. 20 (3/22/1973 - 2/27/1974),,,,Engine 40 OOS 8/1/1963,
D-296,1954,Mack L,1000 / 0,Engine Co. 86 (1/18/1955 - 2/21/1975),,,,,,,,
D-297,1954,Mack L,1000 / 0 ,Engine Co. 104 (8/18/1954 - 3/30/1973),,,,,,,,
D-298,1954,Mack L,1000 / 0 ,Engine Co. 14 (1/13/1955 - 1/5/1976),,,,,,,,Engine 14 (chicagofd.org) Engine 14 (firemann57)
D-299,1956,Mack B,1000_/_200,Engine Co. 60 (6/15/1956 - 7/1960?),Engine Co. 8 (7/1960? - 7/9/1961),Engine Co. 60 (7/9/1961 - 11/1/1974),Engine Co. 32 (7/18/1970 - 7/1/1971),Engine Co. 43 (1/10/1975 - 1/8/1976),,,*Conflict; Engine 8 & Engine 60 swapped rigs so Engine 8 could have booster rig during McCormick Place construction,Engine 43 (firemann57)
D-300,1956,Mack B,1000_/_200,Engine Co. 7 (5/16/1956 - 11/12/1956),Engine Co. 15 (4/2/1957 - 4/11/1958),Engine Co. 87 (4/11/1958 - 10/1/1969),Engine Co. 82 (10/1/1969 - 9/27/1974),Engine Co. 75 (10/2/1974 - 8/5/1976),,,Engine 87 OOS 10/1/1969 & manpower used to organize FMS-1,Engine 15 (firemann57) Engine 75 (firemann57)
D-301,1956,Mack B,1000_/_200,Engine Co. 81 (5/23/1956 - 5/21/1963),Engine Co. 122 (5/21/1963 - 8/6/1975),,,,,,Assigned to Engine 122 to protect Dan Ryan Expressway,Engine 81 (Steve Redick)
D-302,1956,Mack B,1000_/_200,Engine Co. 1 (6/12/1956 - 9/13/1961),Engine Co. 21 (9/13/1961 - ?),Engine Co. 119 (10/17/1967 - 4/19/1968),Engine Co. 33 (5/16/1968 - 8/1/1969),Engine Co. 91 (7/24/1968 - 1/20/1970),Engine Co. 32 (75//1971 - 2/13/1974),Engine Co. 85 (5/17/1974 - 10/16/1975),Engine 33 OOS 8/1/1969; Engine 1 & Engine 21 swapped rigs after Engine 21 moved to Meigs Field permanently (needed booster tank),
D-303,1956,Mack B,1000_/_200,Engine Co. 78 (8/30/1956 - 9/13/1974),,,,,,,"Rehabbed around 1970 with updated warning lights, markings, mirrors, etc.",Engine 78 (Steve Redick) Engine 78 (Midwest Fire Depts)
D-304,1956,Mack B,1000_/_200,Engine Co. 113 (8/27/1956 - 12/9/1970),Engine Co. 69 (9/20/1971 - 2/18/1976),Engine Co. 70 (4/13/1976 - 12/16/1976),,,,,,Engine 113 (Steve Redick) Engine 69 (firemann57) Engine 69 (firemann57)
D-305,1956,Mack B,1000_/_200,Engine Co. 66 (8/23/1956 - 10/30/1957),Engine Co. 75 (10/30/1957 - 12/5/1957),Engine Co. 62 (12/5/1957 - 1/21/1977),,,,,Engine 75 & Engine 62 swapped rigs due to lack of hydrants on Doty Road (needed booster tank); retrofitted with Aurora Borealis light & medium-size numerals on doors,Engine 62 (Bill Friedrich) Engine 62 (Bill Friedrich) Engine 62 (firemann57)
D-306,1956,Mack B,1000_/_200,Engine Co. 108 (9/7/1956 - 10/21/1974),Engine Co. 27 (6/8/1956 - 2/18/1963),Engine Co. 25 (2/18/1963 - 12/19/1969),Engine Co. 8 (1/1/1970 - 7/27/70),Engine Co. 92 (11/25/1970 - 7/12/1973),Engine Co. 94 (11/7/1974 - 3/3/1976),,"Delivered 3/16/56; found in Calumet City, IL junkyard in March 2012 **Conflict",Engine 108 (Steve Redick) Engine 27 (Steve Redick) Former Engine 94 (firemann57)
D-307,1956,Mack B,1000_/_200,Engine Co. 27 (6/8/1956 - 2/18/1963),Engine Co. 25 (2/8/1963 - 12/19/1969),Engine Co. 8 (1/1/1970 - 7/27/1970),Engine Co. 92 (11/25/1970 - 7/12/1973),Engine Co. 76 (12/31/1973 - 2/5/1976),Engine Co. 56 (1/26/1976 - 1/13/1977),,Retrofitted with Aurora Borealis light and rear flashers by stint at Engine 76; large “76” and “56” (respectively) numerals on doors,Engine 76 (Midwest Fire Depts) Engine 76 (columind99) Engine 56 (Bill Friedrich)
D-308,1956,Mack B,1000_/_200,Engine Co. 13 (6/14/1956 - 2/11/1967),Engine Co. 51 (2/11/1967 - 8/13/1970),Engine Co. 35 (9/21/1970 - 4/20/1972),Engine Co. 101 (5/2/1972 - 2/9/1977),,,,Graphics & warning lights updated for assignment at Engine 101,Engine 13 (Steve Redick)
D-309,1962,International Harvester/Darley,300 gal,Fog Pressure 3,,,,,,,,
D-310,1962,International Harvester/Darley,300 gal,Fog Pressure 4,Snorkel Squad 1A (9/12/1962 - 5/14/1964),Fog Pressure 7 (1 - 5 - 7)(10/28/1964 - 4/11/1969),Fog Pressure 7 (1 - 5 - 7) (1/20/1969 - 8/24/1969),,,,Fog Pressure 7 OOS 8/24/1969,Fog Pressure 4 (Steve Redick)
D-311,1962,International Harvester/Darley,300 gal,Fog Pressure 5 (6 - 4 - 5) (7/16/1962 - 9/11/1962),Fog Pressure 1 (6 - 4 - 1) (9/11/1962 - 6/11/1967),Fog Pressure 1 (11/13/1967 - 11/24/1967),Fog Pressure 1 (1 - 5 - 1) (? - 9/21/1968),Fog Pressure 7 (1 - 5 - 7) (4/16/1969 - 5/29/1969),,,Fog Pressure 7 conflict dates with D-310 are as they appear on shop reference sheet,
D-312,1962,International Harvester/Darley,300 gal,Fog Pressure 2,Snorkel Squad 2A,Fog Pressure 8 (1/13/1965 - ?),,,,,,Fog Pressure 2 (Steve Redick)
D-313,1963,International Harvester/John Bean,300 gal,Fog Pressure 6 (3/13/1964 - 3/19/1964),Fog Pressure 5 (4/15/1964 - 11/22/1968),,,,,,Fog Pressure 5 OOS 11/22/1968,
D-314,1963,International Harvester/John Bean,300 gal,Fog Pressure 4 (4/15/1964 - 1/1/1969),,,,,,,Fog Pressure 4 OOS 1/1/1969,
D-315,1963,International Harvester/John Bean,300 gal,Fog Pressure 6 (3/19/1964 - 11/18/1968),,,,,,,Fog Pressure 6 OOS 11/18/1968,
D-316,1964,International Harvester/Darley,300 gal,Snorkel Squad 1A (10/26/1964 - 1973),4-4-2A (7/1975 - 1981?),,,,,,Had mounted deluge nozzle; 4-4-2A was at Meigs Field,Snorkel Squad 1A (Midwest Fire Depts)
D-317,1964,International Harvester/Darley,300 gal,Snorkel Squad 2A,Salvage Squad 7 (9/11/1969 - 6/19/1970),,,,,,Had mounted deluge nozzle,
D-318,1964,International Harvester/Darley,300 gal,Fog Pressure 7,Snorkel Squad 3A (5 - 5 - 3) (5/16/1965 - 12/10/1968),Rescue Co. 3 (5 - 1 - 3) (12/10/1968 - 3/8/1969),Truck Co. 31-A (9/13/1970 - 3/1973),,,,Snorkel Squad 3 ran as a 2-piece unit; designation and signature changed on 12/10/1968; SS3 OOS on 3/8/1969 and members used to create FMS-4; had mounted deluge nozzle,Snorkel Squad 3A (L. Madison) Truck 31A (Bill Friedrich)
D-319,1966,International Harvester Loadstar/Darley,300 gal,Fog Pressure 10 (6 - 4 - 10) (9/7/1966 - 2/10/1969),Snorkel Squad 2,Shop spare (3/16/1969 - ?),,,,,Signature changed to 1 - 5 - 10 to speed dispatch on 9/10/1966,
D-320,1966,International Harvester Loadstar/Darley,300 gal,Fog Pressure 9 (9/7/1966 - 10/13/1968),Fog Pressure 1 (1 - 5 - 1) (10/13/1968 - 2/1/1969),,,,,,First & only apparatus for Fog Pressure 9; Company OOS on 10/13/1968; Fog Pressure 1 OOS 2/1/1969,
D-321,1966,International Harvester Loadstar/Darley,300 gal,"Fog Pressure 12 (6 - 4 - 12, then 1 - 6 - 2)(9/9/1966 - 6/24/1968)",Dry Chemical 6 (6 - 2 - 6) (9/5/1969 - ?),,,,,,First & only apparatus for Fog Pressure 12; Company OOS on 6/24/1968; Fog Pressure signatures changed from 6 - 4 - 1 through 6 - 4 - 12 to 1 - 5 - 1 through 1 - 6 - 2 on 9/10/1966 to facilitate faster telegraph dispatch; Fire Boss dry chemical system (1500 lbs. DC) installed 9/5/1969 & pulled foam trailer 6-2-6A (G-317),6-2-6 & 6-2-6A (Midwest Fire Depts)
D-322,1966,International Harvester Loadstar/Darley,300 gal,Fog Pressure 11 (9/8/1966 - 11/23/1968),,,,,,,First & only apparatus for Fog Pressure 11; FP11 OOS 11/23/1968,
D-323,1966,Mack C,1000_/_500,Engine Co. 13 (2/11/1967 - 2/20/1973),Engine Co. 102 (2/23/1973 - 10/9/1978),,,,,,"Some 1966 Mack engines went in service with a red Federal beacon, but were quickly replaced with Aurora Borealis lights; 1966 engines were first with dual-faced red lights on rear",Engine 13 (Bill Friedrich) Engine 102 (Bill Friedrich) Engine 102 (firemann57)
D-324,1966,Mack C,1000_/_500,Engine Co. 18 (6/23/1967 - 10/20/1978),Spare engine (1978? - ?),,,,,,Spare engine (seen 4/1980); Code 3 Collectibles model made of Engine 18,Engine 18 (Steve Redick) Engine 18 (Bill Friedrich) Spare engine (Tim Vermande) Restored? Engine 18 (Gordon J. Nord)
D-325,1966,Mack C,1000_/_500,Engine Co. 89 (10/19/1967 - 5/19/1978),Engine Co. 30 (8/10/1978 - 5/7/1979),,,,,,,Engine 89 (Bill Friedrich) Engine 30 (Bill Friedrich) Engine 30 (chicagofd.org)
D-326,1967,FWD/Seagrave,1000_/_500,Engine Co. 29 (11/16/1967 - 7/29/1973),Engine Co. 92 (12/20/1973 - 6/8/1977),,,,,,,Engine 92 (columind99) Engine 92 (Midwest Fire Depts) Engine 92 (Bill Friedrich)
D-327,1967,Ward LaFrance Ambassador,1000_/_500,Engine Co. 42 (7/28/1967 - 12/2/1969),Engine Co. 46 (12/24/1969 - 6/6/1978),,,,,,,Engine 46 (Midwest Fire Depts)
D-328,1967,Ford C/Ward LaFrance,1000_/_500,Engine Co. 95 (7/28/1967 - 3/16/1970),Engine Co. 79 (3/19/1970 - 6/17/1977),,,,,,Delivered with red roof & later repainted black,
D-329,1967,Ford C/Ward LaFrance,1000_/_500,Engine Co. 77 (10/3/1967 - 8/14/1970),Engine Co. 43 (6/26/1972 - 12/4/1972),Engine Co. 20 (2/27/1974 - 6/29/1978),Engine Co. 30 (4/29/1979 - 7/5/1979),Spare engine,,,Red & green lights on roof and no Mars 888s,Engine 20 (Bill Friedrich) Spare engine (Bill Friedrich)
D-330,1966,GMC/Seagrave/Timco,100_/_175,Booster 1 (6 - 4 - 1) (2/1967 - ?),Battalion 18 (4/1968),Chemical Unit 4 (6 - 3 - 4) (1968 - 11/1973),Spare?,,,,"Demo rig, not purchased until 5/1967; Booster 1 located at Engine 59‘s house; Replaced Engine Co. 21 as 6 - 3 - 4; Engine 21 placed permanently OOS 10/17/67, the first day for 6 - 3 - 4 at Meigs Field",Battalion 18 (Bill Friedrich)
D-331,1966,IHC Fire Boss,100/175/750DC,6 - 2 - 1 Dry Chemical (10/17/1967 - 7/17/1981),6 - 2 - 1 Dry Chemical (9/18/1981 - ?),,,,,,Replaced Engine 21; located at Meigs Field; sent to shops for rebuild on 7/171981; still in service October 1985,6-2-1 (Bill Friedrich)
D-332,1967,Ward LaFrance Ambassador,1250_/_350,Engine Co. 34 (10/17/1967 - 8/31/1978),,,,,,,,Engine 34 (Bill Friedrich) Engine 34 (Bill Friedrich)
D-333,1967,Ward LaFrance Ambassador,1250_/_350,Engine Co. 54 (12/1/1967 - 2/5/1973),Engine Co. 99 (9/11/1974 - 10/26/1978),Engine Co. 107,,,,,,Engine 54 (columind99) Engine 99 (Midwest Fire Depts) Engine 99 (Bill Friedrich)
D-334,1967,Ward LaFrance Ambassador,1250_/_500,Engine Co. 11 (1/8/1968 - 11/16/1968),Engine Co. 98 (11/16/1968 - 6/25/1970),Engine Co. 107 (7/2/1970 - 11/15/1978),,,,,Engine 11 OOS 11/16/1968,Engine 11 (Bill Friedrich) Engine 107 (Bill Friedrich) Engine 107 (Midwest Fire Depts) Possibly a spare (Steve Redick)
D-335,1967,FWD/Seagrave,1000_/_500,Engine Co. 80 (11/14/1967 - 6/7/1968),Engine Co. 93 (6/20/1968 - 5/21/1979),,,,,,,Engine 93 (Midwest Fire Depts) Engine 93 (Bill Friedrich) Engine 93 (firemann57)
D-336,1967,Ford C/Ward LaFrance,1000_/_750,Engine Co. 127 (1/19/1968 - 10/16/1980),,,,,,,,Engine 127 (Bill Friedrich)
D-337,1967,Ford C/Ward LaFrance,1000_/_750/300 lbs. Ansul dry powder,Engine Co. 118 (3/4/1968 - 2/4/1974),Engine Co. 32 (2/13/1974 - 10/29/1980),Chemical 8 (6 - 3 - 8),,,,,Engine 118 OOS 2/4/1974; rig carried 96’ of ground ladders; 6 - 3 - 8 at Engine 80’s house,"Engine 32 (Midwest Fire Depts) Engine 32 (Bill Friedrich) 6-3-8 (Dennis McGuire, Jr.) 6-3-8 rusting away (Kyle Svoboda)"
D-338,1967,Ford C/Ward LaFrance,1000_/_750,Engine Co. 80 (6/7/1968 - 5/31/1979),,,,,,,,Engine 80 (Midwest Fire Depts) Engine 80 (firemann57)
D-339,1967,Ford C/Ward LaFrance,1000_/_750,Engine Co. 119(4/19/1968 - 2/12/1976),Engine Co. 115 (2/23/1976 - 12/31/1980),,,,,,,Engine 115 (Midwest Fire Depts) Engine 115 (firemann57)
D-340,1967,Ford C/Ward LaFrance,1000_/_750,Engine Co. 44 (1/31/1968 - 2/1/1968),Engine Co. 96 (2/1/1968 - 5/21/1968),Engine Co. 44 (5/21/1968 - 10/4/1969),Engine Co. 59 (10/20/1969 - 6/1/1979),,,,,Engine 59 (Bill Friedrich)
D-341,1967,Ford C/Ward LaFrance,1000_/_750,,Spare engine,,,,,,,
D-341,1967,IHC/Fire Guard/Fire Boss,200gal/750DC/20F,Dry Chemical 2 (6 - 2 - 2) (6/5/1968 - ?),,,,,,,Two of these lasted in CFD shops storage yard until at least 1994,6-2-2 (firemann57) 6-2-2 (Bill Friedrich)
D-342,1967,IHC/General Fire Boss,100/200/20DC,6 - 2 - 4 Dry Chemical,,,,,,,At Meigs Field,
D-343,,,,,,,,,,,,
D-344,,,,,,,,,,,,
D-345,1968,Mack CF,1000_/_500,Engine Co. 96 (5/26/1968 - 11/14/1978),Engine Co. 4 (12/7/1978 - 5/30/1979),Engine Co. 63 (6/7/1979 - 9/23/1980),,,,,,
D-346,1968,Mack C,1000_/_500,Engine Co. 64 (10/9/1968 - 10/4/1978),Engine Co. 16 (1/16/1979 - 12/12/1980),,,,,,Code 3 Collectibles model replica (E64 with deck gun on platform over booster reels),Engine 64 (Bill Friedrich) Engine 16 (Bill Friedrich)
D-347,1969,Ward LaFrance Ambassador,1000_/_500,Engine Co. 45 (11/22/1969 - 7/13/1973),Engine Co. 45 (10/29/1975 - 10/13/1976),,,,,,,
D-348,1969,Ward LaFrance Ambassador,1000_/_500,Engine Co. 28 (3/19/1970 - 7/16/1979),Engine Co. 83,Reserve Engine R-2,,,,,,Engine 28 (Bill Friedrich)
D-349,1969,Ford C8000/Ward LaFrance,1000_/_500,Engine Co. 47 (5/29/1970 - 6/20/1979),,,,,,,175” wheelbase models (all 1969 Ford/WLF rigs),Engine 47 (firemann57) Engine 47 (firemann57)
D-350,1969,Ford C8000/Pierce,1000_/_750,Engine Co. 72 (4/13/1970 - 1978),Engine Co. 61 (10/3/1978 - 2/1/1980),,,,,,153” wheelbase (Ford/Pierce and Ford/E-One rigs),Engine 72 (Bill Friedrich)
D-351,1969,Ford C8000/Pierce,1000_/_750,Engine Co. 16 (3/6/1970 - 11/30/1978),,,,,,,,Engine 16 (columind99)
D-352,1969,International/Pierce,1000_/_500,Engine Co. 4 (1/2/1970 - 12/7/1978),,,,,,,,Engine 4 (Steve Redick)
D-353,1969,International/Pierce,1000_/_500,Engine Co. 25 (12/19/1969 - 11/13/1974),Engine Co. 30 (11/21/1974 - 8/10/1978),,,,,,,Engine 25 (firemann57) Engine 30 (Bill Friedrich) Engine 30 (columind99)
D-354,1969,Ford C8000/Ward LaFrance,1000_/_750,Engine Co. 124 (3/27/1970 - 5/19/1977),Engine Co. 100 (9/17/1978 - 11/9/1978),,,,,,,Engine 124 (Bill Friedrich) Engine 124 (columind99)
D-355,1969,Ford C8000/Ward LaFrance,1000_/_750,Flying Manpower Squad 3 (? - 9/1970),Engine Co. 68 (9/13/1970 - 8/2/1979),,,,,,FMS 3 operated out of T31’s house with this rig until Engine 64 moved there,Engine 68 (Bill Friedrich)
D-356,1969,Ford C8000/Ward LaFrance,1000_/_750,Engine Co. 44 (4/21/1970 - 6/19/1979),,,,,,,,Engine 44 (firemann57) Engine 44 (chicagofd.org)
D-357,1969,Seagrave/FWD,1500_/_500,Engine Co. 5 (1/13/1970 - 3/28/1973),Engine Co. 104 (3/30/1973 - 6/9/1980),,,,,,,Engine 5 (Bill Friedrich) Engine 5 (J. McCullough) Engine 104 (Bill Friedrich) Engine 104 (chicagofd.org) Engine 104 (firemann57) Engine 104 (mbernero)
D-358,1969,Ward LaFrance Ambassador,1000_/_500,Engine Co. 83 (2/11/1970 - 3/16/1977),Engine Co. 100 (7/27/1979 - 8/27/1980),Engine Co. 10 (9/14/1981 - 1/10/1982),,,,,,Engine 83 (Bill Friedrich)
